Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
30690,Community Fibre Limited,London,2021-10-16T23:15:01.745083Z,137.28267836533254,26.57,195993149.1169437,21897256.738718312,,0.0.0.0
30690,Community Fibre Limited,London,2021-10-17T01:15:01.641649Z,137.28267836533254,31.777,191308422.08521518,20355124.0785163,,0.0.0.0
